height,weight,age,Cluster
193.0,77.0,77.0,0
188.0,88.0,77.0,0
188.0,82.0,80.0,0
201.0,90.0,79.0,0
185.0,74.0,77.0,0
190.0,92.0,78.0,0
185.0,77.0,77.0,0
198.0,88.0,76.0,0
213.0,104.0,77.0,1
190.0,82.0,77.0,0
193.0,90.0,77.0,0
198.0,104.0,77.0,1
190.0,81.0,75.0,0
190.0,83.0,76.0,0
188.0,72.0,76.0,0
196.0,95.0,75.0,1
201.0,86.0,77.0,0
196.0,95.0,77.0,1
203.0,95.0,78.0,1
196.0,87.0,76.0,0
190.0,83.0,77.0,0
190.0,81.0,76.0,0
185.0,81.0,77.0,0
206.0,97.0,76.0,1
190.0,83.0,76.0,0
201.0,97.0,79.0,1
211.0,103.0,77.0,1
203.0,108.0,76.0,1
201.0,102.0,76.0,1
203.0,97.0,78.0,1
183.0,79.0,77.0,0
188.0,88.0,76.0,0
208.0,104.0,76.0,1
193.0,90.0,76.0,0
201.0,99.0,78.0,1
206.0,102.0,77.0,1
218.0,108.0,75.0,1
203.0,99.0,77.0,1
206.0,104.0,76.0,1
193.0,88.0,77.0,0
190.0,88.0,76.0,0
201.0,102.0,76.0,1
196.0,79.0,77.0,0
213.0,113.0,76.0,1
190.0,81.0,77.0,0
213.0,99.0,76.0,1
196.0,81.0,76.0,0
203.0,92.0,77.0,0
203.0,102.0,76.0,1
196.0,97.0,75.0,1
188.0,79.0,77.0,0
188.0,83.0,76.0,0
201.0,97.0,79.0,1
188.0,86.0,77.0,0
185.0,83.0,76.0,0
188.0,81.0,75.0,0
185.0,79.0,75.0,0
196.0,95.0,78.0,1
196.0,92.0,83.0,1
201.0,95.0,75.0,1
201.0,97.0,75.0,1
203.0,99.0,76.0,1
190.0,83.0,79.0,0
188.0,81.0,75.0,0
198.0,92.0,75.0,0
196.0,86.0,76.0,0
188.0,79.0,76.0,0
198.0,95.0,75.0,1
208.0,99.0,75.0,1
201.0,97.0,75.0,1
201.0,86.0,79.0,0
183.0,77.0,76.0,0
198.0,90.0,76.0,0
203.0,102.0,80.0,1
196.0,83.0,75.0,0
211.0,94.0,75.0,1
206.0,95.0,74.0,1
193.0,81.0,75.0,0
203.0,90.0,75.0,0
198.0,97.0,75.0,1
203.0,88.0,75.0,0
201.0,102.0,75.0,1
198.0,99.0,77.0,1
183.0,77.0,75.0,0
190.0,88.0,76.0,0
208.0,104.0,74.0,1
208.0,102.0,75.0,1
203.0,88.0,75.0,0
190.0,81.0,76.0,0
185.0,77.0,75.0,0
201.0,97.0,76.0,1
196.0,86.0,75.0,0
193.0,97.0,77.0,1
198.0,97.0,75.0,1
185.0,72.0,78.0,0
198.0,93.0,75.0,0
193.0,88.0,75.0,0
198.0,95.0,78.0,1
203.0,99.0,75.0,1
206.0,90.0,74.0,0
206.0,83.0,74.0,0
196.0,83.0,74.0,0
206.0,95.0,74.0,1
201.0,95.0,74.0,1
201.0,99.0,74.0,1
193.0,88.0,78.0,0
198.0,85.0,76.0,0
190.0,81.0,74.0,0
190.0,81.0,74.0,0
198.0,81.0,74.0,0
190.0,83.0,74.0,0
198.0,99.0,75.0,1
201.0,98.0,74.0,1
183.0,81.0,74.0,0
203.0,102.0,75.0,1
201.0,102.0,75.0,1
190.0,83.0,76.0,0
